Judge ID,Race or Ethnicity,Gender,Court Type
6831146,White,Male,U.S. District Court
6731081,White,Male,U.S. District Court
3178,White,Female,U.S. Court of Appeals
3038,White,Male,U.S. District Court
3555,African American,Male,U.S. District Court
3123,White,Male,U.S. District Court
2872,White,Male,U.S. District Court
4733051,White,Male,U.S. District Court
3115,African American,Female,U.S. District Court
3350,African American,Male,U.S. District Court
4025356,White,Male,U.S. Court of Appeals
5197991,White,Male,U.S. District Court
2598,White,Female,U.S. Court of Appeals
3384,White,Female,U.S. District Court
2830,African American,Male,U.S. Court of Appeals
7330451,White,Female,U.S. District Court
3424,African American,Male,U.S. District Court
2617,White,Male,U.S. District Court
6631561,White,Male,U.S. District Court
3498,White,Female,U.S. District Court
2979,White,Female,U.S. District Court
6385006,White,Male,U.S. District Court
3492,African American,Female,U.S. District Court
2636,White,Female,U.S. Court of Appeals
3131,White,Female,U.S. District Court
3009,White,Male,U.S. District Court
3494,African American,Male,U.S. District Court
2906,White,Male,U.S. District Court
3599,African American,Female,U.S. District Court
3143,Asian American,Male,U.S. District Court
3293,African American,Male,U.S. Court of Appeals
6273451,White,Male,U.S. District Court
3604,White,Female,U.S. District Court
3548,African American,Female,U.S. District Court
2754,White,Male,U.S. District Court
6839686,African American,Male,U.S. District Court
2918,White,Male,U.S. District Court
3391,White,Female,U.S. District Court
3106,White,Male,U.S. District Court
