Court Type,Gender,Race or Ethnicity,Name
U.S. District Court,Male,White,Job Barnard 
U.S. District Court,Male,White,David Barnes 
U.S. District Court,Male,White,Harry Barnes 
U.S. District Court,Male,White,John Barnes 
U.S. Court of Appeals,Male,White,Stanley Barnes 
U.S. District Court,Male,White,John Barr 
U.S. Court of Appeals,Female,White,Amy Barrett
U.S. Court of Appeals,Male,White,James Barrett 
U.S. District Court,Male,White,Michael Barrett 
U.S. District Court,Male,White,William Barrett 
U.S. Court of Appeals,Male,White,David Barron 
U.S. District Court,Male,White,Allen Barrow 
U.S. District Court,Female,White,Maryanne Barry 
U.S. District Court,Male,White,John Bartels 
U.S. District Court,Male,White,Harvey BartleIII
U.S. District Court,Male,White,D. Bartlett 
U.S. District Court,Female,White,Cynthia Bashant 
U.S. District Court,Male,White,William Bassler 
U.S. District Court,Male,White,Stanley Bastian 
U.S. District Court,Male,White,Walter Bastian 
U.S. District Court,Male,White,Joseph Bataillon 
U.S. District Court,Female,White,Alice Batchelder 
U.S. District Court,Male,White,John Bates 
U.S. District Court,Male,White,Anthony Battaglia 
U.S. District Court,Female,White,Marianne Battani 
U.S. District Court,Male,White,Timothy BattenSr.
U.S. District Court,Male,White,Richard Battey 
U.S. District Court,Male,White,James Battin 
U.S. District Court,Male,White,Frank Battisti 
U.S. District Court,Female,African American,Deborah Batts 
U.S. Court of Appeals,Male,White,Robert Batts 
U.S. District Court,Male,White,William Bauer 
U.S. District Court,Male,White,Arnold Bauman 
U.S. District Court,Female,White,Susan Baxter
U.S. District Court,Male,White,Michael Baylson 
U.S. Court of Appeals,Male,White,David Bazelon 
U.S. Court of Appeals,Male,Hispanic,Carlos Bea 
U.S. District Court,Male,White,C[larence] Beam 
U.S. District Court,Male,White,George Beamer 
U.S. District Court,Male,White,Robert Bean 
U.S. District Court,Male,White,Charlton Beattie 
U.S. District Court,Male,White,James Beatty 
U.S. District Court,Male,White,William Beatty 
U.S. District Court,Male,African American,James BeatyJr.
U.S. District Court,Male,White,Campbell Beaumont 
U.S. District Court,Male,White,Jeffrey Beaverstock
U.S. District Court,Male,White,Louis Bechtle 
U.S. District Court,Male,White,Axel Beck 
U.S. District Court,Male,White,Edward Becker 
