Court Type,Gender,Race or Ethnicity,Name
U.S. Court of Appeals,Male,White,Charles Clark 
U.S. District Court,Male,White,Charles Clark 
U.S. Court of Appeals,Male,White,Charles Clark 
U.S. District Court,Male,White,Chase Clark 
U.S. District Court,Male,White,Daniel Clark 
U.S. District Court,Male,White,Ron Clark 
U.S. District Court,Male,White,Russell Clark 
U.S. District Court,Male,White,Stephen ClarkSr.
U.S. Court of Appeals,Male,White,Thomas Clark 
Supreme Court,Male,White,Tom Clark 
U.S. District Court,Male,White,William Clark 
U.S. District Court,Male,White,John Clarke 
U.S. District Court,Male,White,Joseph ClarkeJr.
U.S. District Court,Male,White,Thurmond Clarke 
U.S. District Court,Male,White,Thomas Clary 
U.S. Court of Appeals,Male,African American,Eric Clay 
U.S. District Court,Male,White,Joseph ClayJr.
U.S. District Court,Male,White,Claude Clayton 
U.S. District Court,Male,White,Henry Clayton 
U.S. District Court,Male,White,Robert Cleland 
U.S. District Court,Female,White,Edith Clement 
U.S. District Court,Male,African American,U. Clemon 
U.S. Court of Appeals,Male,White,Raymond ClevengerIII
U.S. District Court,Male,African American,Charles ClevertJr.
U.S. District Court,Male,White,Adam Cliffe 
U.S. District Court,Male,White,John CliffordJr.
Supreme Court,Male,White,Nathan Clifford 
U.S. Court of Appeals,Male,White,Richard Clifton 
U.S. District Court,Male,African American,David Coar 
U.S. District Court,Male,White,Howell Cobb 
U.S. District Court,Male,White,Andrew Cochran 
U.S. District Court,Male,White,Ernest Cochran 
U.S. Court of Appeals,Male,White,John Coffey 
U.S. Court of Appeals,Male,White,Frank Coffin 
U.S. District Court,Female,White,Jennifer Coffman 
U.S. District Court,Male,White,Albert Coffrin 
U.S. District Court,Male,White,Brian Cogan 
U.S. District Court,Male,White,Max CogburnJr.
U.S. District Court,Male,White,Donald CogginsJr.
U.S. District Court,Male,White,Mark Cohen 
U.S. District Court,Male,White,Mitchell Cohen 
U.S. District Court,Male,White,Maurice CohillJr.
U.S. District Court,Male,White,Avern Cohn 
U.S. District Court,Male,White,James Cohn 
U.S. District Court,Male,White,Charles Cole 
U.S. District Court,Male,White,Douglas Cole
U.S. Court of Appeals,Male,African American,Ransey ColeJr.
U.S. District Court,Male,White,Frank Coleman 
U.S. Court of Appeals,Male,White,James Coleman 
U.S. District Court,Female,African American,Sharon Coleman 
U.S. District Court,Male,White,William Coleman 
U.S. District Court,Male,White,John Collet 
U.S. District Court,Male,African American,Curtis Collier 
U.S. District Court,Male,White,Lacey Collier 
U.S. District Court,Female,African American,Audrey Collins 
U.S. Court of Appeals,Male,White,Daniel Collins
U.S. District Court,Male,African American,Raner Collins 
U.S. District Court,Male,African American,Robert Collins 
U.S. District Court,Male,White,William Collinson 
U.S. Court of Appeals,Male,White,Steven Colloton 
U.S. District Court,Female,White,Rosemary Collyer 
U.S. District Court,Male,White,LeBaron Colt 
U.S. District Court,Male,White,Robert Colville
U.S. Court of Appeals,Male,White,Bertram Combs 
U.S. District Court,Male,White,James Comiskey 
U.S. District Court,Male,White,Richard Conaboy 
U.S. District Court,Male,White,Kenneth Conboy 
U.S. District Court,Male,White,Abraham Conger 
U.S. District Court,Male,White,Edward Conger 
U.S. District Court,Male,White,Alfred Conkling 
U.S. District Court,Male,White,William Conley 
U.S. District Court,Female,White,Suzanne Conlon 
U.S. District Court,Male,White,Patrick Conmy 
U.S. District Court,Male,White,Ben Connally 
U.S. District Court,Male,White,James Connell 
U.S. District Court,Male,White,Christopher Conner 
U.S. District Court,Male,White,William Conner 
U.S. District Court,Male,White,Colm Connolly
U.S. District Court,Male,White,Aloysius Connor 
U.S. District Court,Male,White,Henry Connor 
U.S. District Court,Male,White,Glen Conrad 
U.S. District Court,Male,White,Robert ConradJr.
U.S. District Court,Female,White,Joy Conti 
U.S. District Court,Male,White,Samuel Conti 
U.S. District Court,Male,White,Leroy ContieJr.
U.S. District Court,Male,Hispanic,Rudolph Contreras 
U.S. District Court,Female,White,Anne Conway 
U.S. District Court,Male,White,John Conway 
U.S. District Court,Male,White,L. Coogler 
U.S. Court of Appeals,Female,White,Deborah Cook 
U.S. District Court,Male,White,Harold Cook 
U.S. District Court,Male,African American,Julian CookJr.
U.S. District Court,Female,African American,Marcia Cooke 
U.S. District Court,Male,White,James Coolahan 
U.S. District Court,Male,African American,Christopher Cooper 
U.S. District Court,Male,African American,Clarence Cooper 
U.S. District Court,Female,White,Florence-Marie Cooper 
U.S. District Court,Male,White,Frank Cooper 
U.S. District Court,Male,White,Irving Cooper 
U.S. District Court,Female,White,Mary Cooper 
U.S. District Court,Male,White,John CopenhaverJr.
U.S. District Court,Male,White,William Copple 
U.S. District Court,Male,White,Howard Corcoran 
U.S. District Court,Male,Hispanic,Valdemar Cordova 
U.S. District Court,Male,White,Clifton Corker
U.S. District Court,Male,White,Timothy Corrigan 
U.S. District Court,Male,White,George Cosgrave 
U.S. District Court,Male,White,Gregg Costa 
U.S. District Court,Male,White,Mark Costantino 
U.S. District Court,Female,White,Denise Cote 
U.S. District Court,Male,White,John Cotteral 
U.S. District Court,Male,White,John Coughenour 
U.S. District Court,Male,White,Walter CountsIII
U.S. District Court,Male,White,Alfred Covello 
U.S. District Court,Male,White,James Covington 
U.S. District Court,Female,Hispanic,Virginia Covington 
U.S. District Court,Male,White,Finis Cowan 
U.S. District Court,Male,White,Robert Cowen 
U.S. District Court,Male,White,Elijah Cox 
U.S. District Court,Male,White,Emmett Cox 
U.S. District Court,Male,White,Joseph Cox 
U.S. District Court,Male,White,Owen Cox 
U.S. District Court,Male,White,Sean Cox 
U.S. District Court,Male,White,Walter Cox 
U.S. District Court,Male,White,William Cox 
U.S. District Court,Male,White,Alfred CoxeJr.
U.S. District Court,Male,White,Alfred CoxeSr.
U.S. District Court,Male,White,Robert Coyle 
U.S. District Court,Female,White,Barbara Crabb 
U.S. District Court,Male,White,Daniel Crabtree 
U.S. District Court,Male,White,Walter Craig 
U.S. District Court,Male,Hispanic,Randy Crane 
U.S. District Court,Male,White,Elisha Crary 
U.S. District Court,Male,White,James CravenJr.
U.S. District Court,Male,White,Geoffrey Crawford 
U.S. District Court,Male,White,William Crawford 
U.S. District Court,Male,White,William CreightonJr.
U.S. District Court,Male,African American,Waverly CrenshawJr.
U.S. District Court,Male,White,Thomas Croake 
U.S. District Court,Male,White,Myron Crocker 
U.S. District Court,Female,White,Marcia Crone 
U.S. District Court,Male,White,Joseph Cross 
U.S. District Court,Male,White,Paul Crotty 
U.S. District Court,Male,White,Sam Crow 
U.S. District Court,Male,White,John Crowley 
U.S. Court of Appeals,Male,White,Richard Cudahy 
U.S. District Court,Male,White,Samuel Cummings 
U.S. Court of Appeals,Male,White,Walter Cummings 
U.S. District Court,Male,Hispanic,Gonzalo Curiel 
U.S. District Court,Male,White,Edward Curran 
U.S. District Court,Male,White,Thomas Curran 
U.S. District Court,Female,White,Cameron Currie 
U.S. District Court,Male,White,John Curtin 
Supreme Court,Male,White,Benjamin Curtis 
U.S. District Court,Male,White,Jesse CurtisJr.
Supreme Court,Male,White,William Cushing 
U.S. District Court,Male,White,Edward Cushman 
U.S. District Court,Male,White,Jeremiah Cuyler 
U.S. District Court,Male,White,Conrad Cyr 
U.S. District Court,Female,White,Mae D'Agostino 
U.S. District Court,Male,White,Roy DaltonJr.
U.S. District Court,Male,White,Ted Dalton 
U.S. District Court,Male,White,T. Daly 
U.S. District Court,Male,White,Stewart Dalzell 
U.S. District Court,Male,White,Frank DamrellJr.
U.S. Court of Appeals,Male,White,John Danaher 
U.S. District Court,Male,White,Peter Daniel 
U.S. District Court,Male,African American,Wiley Daniel 
U.S. District Court,Male,African American,George Daniels 
U.S. District Court,Male,White,Richard Daronco 
U.S. District Court,Male,White,Leslie Darr 
U.S. District Court,Male,White,John Darrah 
U.S. District Court,Female,White,Sara Darrow 
U.S. District Court,Male,White,Frederick Daugherty 
U.S. Court of Appeals,Female,White,Martha Daughtrey 
U.S. District Court,Male,White,Glen Davidson 
U.S. District Court,Male,White,Thomas Davidson 
U.S. District Court,Male,White,Elmer Davies 
U.S. District Court,Male,White,John Davies 
U.S. District Court,Male,White,Ronald Davies 
U.S. District Court,Male,White,William Davies 
U.S. District Court,Male,Hispanic,Edward Davila 
U.S. District Court,Male,African American,Andre Davis 
U.S. District Court,Male,White,Arthur Davis 
U.S. District Court,Male,African American,Brian Davis 
U.S. District Court,Male,White,Charles Davis 
Supreme Court,Male,White,David Davis 
U.S. District Court,Male,White,David Davis 
U.S. District Court,Male,White,Edward Davis 
U.S. District Court,Male,White,John Davis 
U.S. District Court,Male,White,John Davis 
U.S. District Court,Male,White,John Davis 
U.S. District Court,Male,African American,Legrome Davis 
U.S. District Court,Male,White,Leonard Davis 
U.S. District Court,Male,White,Mark Davis 
U.S. District Court,Male,African American,Michael Davis 
U.S. District Court,Female,African American,Stephanie Davis
U.S. District Court,Male,White,Thomas Davis 
U.S. District Court,Male,White,W. Davis 
U.S. District Court,Male,White,Benjamin DawkinsJr.
U.S. District Court,Male,White,Benjamin DawkinsSr.
U.S. District Court,Male,White,Archie Dawson 
U.S. District Court,Male,White,Charles Dawson 
U.S. District Court,Male,White,Kent Dawson 
U.S. District Court,Male,White,Robert Dawson 
U.S. District Court,Male,White,Edward Day 
U.S. District Court,Male,White,William Day 
U.S. District Court,Male,White,Alston Dayton 
U.S. District Court,Male,White,Matthew Deady 
U.S. District Court,Male,Hispanic,James DeAnda 
U.S. District Court,Male,White,Raymond Dearie 
U.S. District Court,Male,White,Bascom Deaver 
U.S. District Court,Male,White,Dickinson Debevoise 
U.S. District Court,Male,White,Bernard Decker 
U.S. District Court,Male,White,Timothy DeGiusti 
U.S. District Court,Male,White,John deGravelles 
U.S. District Court,Male,White,Jon DeGuilio 
U.S. District Court,Male,White,John DeHaven 
U.S. District Court,Male,White,Mark Delahay 
U.S. District Court,Male,White,John Delehant 
U.S. District Court,Male,Hispanic,Pedro Delgado Hern ndez 
U.S. District Court,Female,Hispanic,Aida Delgado-Col¢n 
U.S. District Court,Male,White,Robert DeMascio 
U.S. District Court,Male,White,Ira DeMent 
U.S. Court of Appeals,Male,White,Harold DeMossJr.
U.S. District Court,Male,White,Arthur Denison 
U.S. Court of Appeals,Male,White,William Denman 
U.S. District Court,Male,White,Robert Denney 
U.S. Court of Appeals,Male,White,James Dennis 
U.S. District Court,Male,White,Samuel Der-Yeghiayan 
U.S. District Court,Male,White,Dozier DeVane 
U.S. District Court,Male,White,James DeverIII
U.S. District Court,Male,White,Shane Devine 
U.S. District Court,Male,White,Edward Devitt 
U.S. District Court,Male,White,Charles Dewey 
U.S. District Court,Male,White,Gustave Diamond 
U.S. District Court,Male,White,Paul Diamond 
U.S. Court of Appeals,Male,Hispanic,Albert Diaz 
U.S. District Court,Male,White,John Dick 
U.S. District Court,Male,White,Robert Dick 
U.S. District Court,Female,White,Shelly Dick 
U.S. District Court,Male,White,Mahlon Dickerson 
U.S. District Court,Male,White,Philemon Dickerson 
U.S. District Court,Male,White,Oliver Dickinson 
U.S. District Court,Male,White,Joseph DiclericoJr.
U.S. District Court,Male,White,Richard Dier 
U.S. District Court,Male,White,Frank Dietrich 
U.S. District Court,Male,White,Samuel Dillin 
U.S. District Court,Female,White,Elizabeth Dillon 
U.S. District Court,Male,White,William Dimitrouleas 
U.S. District Court,Female,White,Carolyn Dimmick 
U.S. District Court,Male,White,Edward Dimock 
U.S. District Court,Female,White,Jodi Dishman
U.S. District Court,Male,White,John DitterJr.
U.S. District Court,Female,White,Susan Dlott 
U.S. District Court,Male,White,Armistead Dobie 
U.S. District Court,Male,White,Frederic Dodge 
U.S. District Court,Female,White,Rebecca Doherty 
U.S. District Court,Male,White,Daniel Domenico
U.S. District Court,Male,Hispanic,Daniel Dom¡nguez 
U.S. Court of Appeals,Male,White,Maurice Donahue 
U.S. District Court,Female,African American,Bernice Donald 
U.S. District Court,Male,White,James Donato 
U.S. District Court,Female,White,Ann Donnelly 
U.S. District Court,Male,White,James Donohoe 
U.S. District Court,Male,White,Dennis Donovan 
U.S. District Court,Male,White,George Donworth 
U.S. District Court,Male,White,Joseph Dooley 
U.S. District Court,Female,White,Kari Dooley
U.S. District Court,Male,White,John DoolingJr.
U.S. District Court,Male,White,Maurice Dooling 
U.S. District Court,Male,White,Richard Dorr 
U.S. District Court,Female,White,Jennifer Dorsey 
U.S. District Court,Male,White,Peter Dorsey 
U.S. District Court,Male,White,David Doty 
U.S. District Court,Male,White,Terry Doughty
Supreme Court,Male,White,William Douglas 
U.S. District Court,Male,White,Robert Doumar 
U.S. District Court,Male,White,Robert DowJr.
U.S. District Court,Male,White,David DowdJr.
U.S. District Court,Male,White,John Dowdell 
U.S. District Court,Male,White,William Downes 
U.S. District Court,Male,White,James Doyle 
U.S. District Court,Male,White,William Doyle 
U.S. District Court,Male,African American,Gershwin Drain 
U.S. District Court,Male,White,John Drayton 
U.S. District Court,Male,White,William Drayton 
U.S. District Court,Male,White,Dee Drell 
U.S. District Court,Male,White,Samuel Driver 
U.S. District Court,Male,White,Christopher Droney 
U.S. District Court,Male,White,Dale Drozd 
U.S. District Court,Male,White,John Druffel 
U.S. District Court,Male,White,Thomas Drummond 
U.S. District Court,Female,Asian American,Miranda Du 
U.S. District Court,Male,White,James Duane 
U.S. District Court,Male,White,Joel Dubina 
U.S. District Court,Male,White,Jan DuBois 
U.S. District Court,Female,White,Kristi DuBose 
U.S. Court of Appeals,Male,White,Charles Duell 
U.S. District Court,Male,White,Brian Duff 
U.S. District Court,Male,White,William DuffeyJr.
U.S. District Court,Male,White,Francis Duffy 
U.S. District Court,Male,White,Kevin Duffy 
U.S. District Court,Male,White,Patrick Duffy 
U.S. District Court,Male,White,Patrick Duggan 
U.S. District Court,Male,White,John DuheJr.
U.S. District Court,Male,White,Edward Dumbauld 
U.S. Court of Appeals,Female,African American,Allyson Duncan 
U.S. District Court,Male,White,Richard Duncan 
U.S. District Court,Male,African American,Robert Duncan 
U.S. Court of Appeals,Male,White,Stuart Duncan
U.S. District Court,Male,White,Elmer Dundy 
U.S. Court of Appeals,Male,White,Benjamin Duniway 
U.S. District Court,Male,White,Adrian Duplantier 
U.S. District Court,Male,White,Franklin DupreeJr.
U.S. District Court,Male,White,Edward Durell 
U.S. District Court,Male,White,Thomas Durkin 
U.S. District Court,Male,White,Stanwood DuvalJr.
U.S. District Court,Male,White,Thomas DuVal 
Supreme Court,Male,White,Gabriel Duvall 
U.S. District Court,Male,White,William Dwyer 
U.S. District Court,Male,White,Charles Dyer 
U.S. District Court,Male,White,David Dyer 
U.S. District Court,Male,White,David Dyer 
U.S. District Court,Male,White,John Dyer 
U.S. Court of Appeals,Male,White,Timothy Dyk 
U.S. District Court,Female,White,Claire Eagan 
U.S. District Court,Female,White,Catherine Eagles 
U.S. District Court,Male,White,William East 
U.S. Court of Appeals,Male,White,Frank Easterbrook 
U.S. District Court,Male,White,Joseph Eaton 
U.S. Court of Appeals,Male,White,David Ebel 
U.S. District Court,Female,White,Rebecca Ebinger 
U.S. District Court,Male,White,Robert Echols 
U.S. District Court,Male,White,Peter Economus 
U.S. District Court,Male,White,David Edelstein 
U.S. District Court,Male,White,Berry Edenfield 
U.S. District Court,Male,White,Newell Edenfield 
U.S. District Court,Male,White,Robert Edgar 
U.S. District Court,Male,White,Alonzo Edgerton 
U.S. Court of Appeals,Male,White,Henry Edgerton 
U.S. Court of Appeals,Male,White,James Edmondson 
U.S. District Court,Female,White,Nancy Edmunds 
U.S. Court of Appeals,Male,White,George EdwardsJr.
U.S. Court of Appeals,Male,African American,Harry Edwards 
U.S. District Court,Male,White,Pierpont Edwards 
U.S. District Court,Male,White,Thomas Egan 
U.S. District Court,Male,White,Warren Eginton 
U.S. District Court,Male,White,Edward Eicher 
U.S. Court of Appeals,Female,White,Allison Eid
U.S. District Court,Male,White,Garnett Eisele 
U.S. District Court,Male,White,John Elfvin 
U.S. District Court,Male,White,James Elliott 
U.S. District Court,Male,White,J[ames] Elliott 
U.S. District Court,Male,White,Frank Ellis 
U.S. District Court,Male,White,Powhatan Ellis 
U.S. District Court,Female,African American,Sara Ellis 
U.S. District Court,Male,White,Thomas EllisIII
U.S. District Court,Male,White,James Ellison 
U.S. District Court,Male,White,Keith Ellison 
Supreme Court,Male,White,Oliver Ellsworth 
U.S. Court of Appeals,Female,White,Jennifer Elrod 
U.S. Court of Appeals,Male,White,Walter ElyJr.
U.S. District Court,Male,White,Albert Engel 
U.S. District Court,Male,White,Kurt Engelhardt 
U.S. District Court,Male,White,Paul Engelmayer 
U.S. District Court,Male,African American,Morrison EnglandJr.
U.S. District Court,Male,White,George English 
U.S. District Court,Male,White,William Enright 
U.S. District Court,Male,White,Richard Enslen 
U.S. District Court,Female,White,Joan Ericksen 
U.S. District Court,Male,White,Ralph Erickson 
U.S. District Court,Male,White,Herbert Erskine 
U.S. District Court,Male,White,John Erskine 
U.S. District Court,Male,White,Robert Ervin 
U.S. Court of Appeals,Male,White,Samuel ErvinIII
U.S. District Court,Male,African American,Richard Erwin 
U.S. District Court,Male,White,Jesse Eschbach 
U.S. District Court,Male,White,Charles EskridgeIII
U.S. District Court,Male,White,Joe Estes 
U.S. District Court,Male,White,William Estes 
U.S. District Court,Male,White,Luther Eubanks 
U.S. District Court,Male,White,Beverly EvansJr.
U.S. Court of Appeals,Male,White,Evan Evans 
U.S. District Court,Female,White,Orinda Evans 
U.S. District Court,Male,White,Terence Evans 
U.S. District Court,Male,White,Walter Evans 
U.S. District Court,Male,White,Hamilton Ewart 
U.S. District Court,Male,White,Nathaniel Ewing 
U.S. District Court,Male,White,David Ezra 
U.S. District Court,Male,White,David Faber 
U.S. Court of Appeals,Male,White,George Fagg 
U.S. Court of Appeals,Male,White,Charles Fahy 
U.S. District Court,Female,White,Katherine Failla 
U.S. District Court,Female,White,Valerie Fairbank 
U.S. Court of Appeals,Male,White,Thomas Fairchild 
U.S. District Court,Male,White,Guy Fake 
U.S. District Court,Male,White,Eldon Fallon 
U.S. District Court,Male,White,Charles Faris 
U.S. District Court,Male,White,Joseph FarnanJr.
U.S. District Court,Male,White,Edward Farrington 
U.S. Court of Appeals,Male,African American,Joseph Farris 
U.S. District Court,Female,White,Patricia Fawsett 
U.S. District Court,Male,White,Peter Fay 
U.S. District Court,Male,White,James Fee 
U.S. District Court,Male,White,Gary Feess 
U.S. District Court,Male,White,John Feikens 
U.S. District Court,Male,White,Wilfred Feinberg 
U.S. District Court,Male,White,Gary Feinerman 
U.S. District Court,Male,White,Martin Feldman 
U.S. District Court,Male,White,Gary Fenner 
U.S. District Court,Male,White,Warren Ferguson 
U.S. District Court,Male,African American,Wilkie FergusonJr.
U.S. District Court,Male,Hispanic,Ferdinand Fernandez 
U.S. District Court,Male,Hispanic,Juan Fernandez-Badillo 
U.S. District Court,Female,White,Sandra Feuerstein 
U.S. District Court,Male,White,John FieldJr.
U.S. District Court,Male,White,Richard Field 
Supreme Court,Male,White,Stephen Field 
U.S. District Court,Male,White,Phillip Figa 
U.S. District Court,Male,White,Mark Filip 
U.S. District Court,Male,White,Edward Filippine 
U.S. District Court,Male,White,Sherman Finesilver 
U.S. District Court,Male,White,Gustavus Finkelnburg 
U.S. Court of Appeals,Male,White,Philip Finnegan 
U.S. District Court,Male,White,Robert Firth 
U.S. District Court,Female,White,Dale Fischer 
U.S. District Court,Female,White,Nora Fischer 
U.S. District Court,Male,White,A[llen] Fish 
U.S. District Court,Male,White,Clarkson Fisher 
U.S. Court of Appeals,Male,White,D. Fisher 
U.S. District Court,Male,White,George Fisher 
U.S. District Court,Male,White,John Fisher 
U.S. District Court,Male,White,Joseph Fisher 
U.S. Court of Appeals,Male,White,Raymond Fisher 
U.S. District Court,Male,White,James Fitzgerald 
U.S. District Court,Male,White,Michael Fitzgerald 
U.S. District Court,Male,White,Louis FitzHenry 
U.S. District Court,Male,White,Duross Fitzpatrick 
U.S. District Court,Male,White,Sidney Fitzwater 
U.S. District Court,Female,White,Louise Flanagan 
U.S. District Court,Male,White,Thomas Flannery 
U.S. District Court,Male,White,Joel Flaum 
U.S. District Court,Female,White,Audrey Fleissig 
U.S. Court of Appeals,Female,White,Betty Fletcher 
U.S. Court of Appeals,Male,White,William Fletcher 
U.S. District Court,Male,White,Henry Floyd 
U.S. District Court,Male,White,Herbert Fogel 
U.S. District Court,Male,White,Jeremy Fogel 
U.S. District Court,Male,White,James Foley 
U.S. District Court,Male,White,Roger Foley 
U.S. District Court,Male,White,Roger Foley 
U.S. District Court,Male,White,Frederick Follmer 
U.S. District Court,Male,White,David Folsom 
U.S. District Court,Male,Asian American,Harold Fong 
U.S. District Court,Female,White,Elizabeth Foote 
U.S. District Court,Male,White,Francis Ford 
U.S. District Court,Male,White,Hiram Ford 
U.S. District Court,Male,White,James Foreman 
U.S. District Court,Male,White,Karl Forester 
U.S. District Court,Male,White,Phillip Forman 
U.S. District Court,Female,White,Katherine Forrest 
U.S. District Court,Male,White,J. Forrester 
Supreme Court,Male,White,Abe Fortas 
U.S. District Court,Male,White,Cassius Foster 
U.S. District Court,Male,White,Rufus Foster 
U.S. District Court,Male,African American,John FowlkesJr.
U.S. District Court,Male,White,Edward Fox 
U.S. District Court,Male,White,James Fox 
U.S. District Court,Male,White,Noel Fox 
U.S. District Court,Male,White,Donovan Frank 
U.S. Court of Appeals,Male,White,Jerome Frank 
U.S. District Court,Male,White,Marvin Frankel 
Supreme Court,Male,White,Felix Frankfurter 
U.S. District Court,Male,White,Philip Fraser 
U.S. District Court,Male,White,Emerich Freed 
U.S. District Court,Male,White,Abraham Freedman 
U.S. District Court,Male,White,Frank Freedman 
U.S. District Court,Male,White,Louis Freeh 
U.S. District Court,Female,White,Beth Freeman 
U.S. District Court,Male,White,Ralph Freeman 
U.S. District Court,Male,White,Richard Freeman 
U.S. District Court,Female,White,Nancy Freudenthal 
U.S. District Court,Male,White,William Frey 
U.S. Court of Appeals,Female,White,Michelle Friedland 
U.S. District Court,Male,White,Bernard Friedman 
U.S. District Court,Male,White,Jerome Friedman 
U.S. District Court,Male,White,Monroe Friedman 
U.S. District Court,Male,White,Paul Friedman 
U.S. District Court,Female,White,Dabney Friedrich
U.S. Court of Appeals,Male,White,Henry Friendly 
U.S. District Court,Male,White,Stephen Friot 
U.S. District Court,Male,White,Gregory Frizzell 
U.S. District Court,Male,White,Gregory Frost 
U.S. District Court,Female,White,Helen Frye 
U.S. Court of Appeals,Male,Hispanic,Julio Fuentes 
U.S. District Court,Male,White,John Fullam 
U.S. District Court,Male,White,Mark Fuller 
Supreme Court,Male,White,Melville Fuller 
U.S. District Court,Male,White,Charles Fulton 
U.S. District Court,Male,White,William FurgesonJr.
U.S. District Court,Male,White,Jesse Furman 
U.S. District Court,Male,Hispanic,Jos‚ Fust‚ 
U.S. District Court,Male,White,Richard GadboisJr.
U.S. District Court,Male,White,Paul Gadola 
U.S. District Court,Male,White,Lee Gagliardi 
U.S. District Court,Male,African American,Fernando GaitanJr.
U.S. Court of Appeals,Male,White,Arthur Gajarsa 
U.S. District Court,Male,White,John Gallagher
U.S. District Court,Female,White,Stephanie Gallagher
U.S. District Court,Male,White,Clarence Galston 
U.S. District Court,Male,White,James Ganey 
U.S. District Court,Male,White,Nicholas Garaufis 
U.S. District Court,Male,White,Marvin Garbis 
U.S. District Court,Male,Hispanic,Edward Garcia 
U.S. District Court,Male,Hispanic,Hipolito Garcia 
U.S. District Court,Male,Hispanic,Orlando Garcia 
U.S. District Court,Female,Hispanic,Marina Garcia Marmolejo 
U.S. District Court,Male,Hispanic,Jay Garcia-Gregory 
U.S. District Court,Male,White,Paul Gardephe 
U.S. Court of Appeals,Male,White,Archibald Gardner 
U.S. District Court,Male,White,James Gardner 
U.S. Court of Appeals,Male,White,Merrick Garland 
U.S. Court of Appeals,Male,White,Francis Garrecht 
U.S. District Court,Male,White,Wendell GarrityJr.
U.S. District Court,Male,White,Leonard Garth 
U.S. District Court,Male,White,Edwin Garvin 
U.S. Court of Appeals,Male,White,William Garwood 
U.S. District Court,Male,Hispanic,Emilio Garza 
U.S. District Court,Male,Hispanic,Reynaldo Garza 
U.S. District Court,Male,White,Oliver Gasch 
U.S. District Court,Female,White,Patricia Gaughan 
U.S. District Court,Male,White,Robert GawthropIII
U.S. District Court,Male,White,John Gayle 
U.S. District Court,Male,African American,Darrin Gayles 
U.S. District Court,Female,Asian American,Dolly Gee 
U.S. Court of Appeals,Male,White,Thomas Gee 
U.S. District Court,Male,White,Ferdinand Geiger 
U.S. District Court,Male,Hispanic,Gustavo Gelp¡Jr.
U.S. District Court,Male,White,Lloyd George 
U.S. District Court,Male,White,Frank GeraciJr.
U.S. District Court,Male,White,Richard Gergel 
U.S. District Court,Male,White,John Gerrard 
U.S. District Court,Male,White,John Gerry 
U.S. District Court,Female,White,Nina Gershon 
U.S. District Court,Female,White,Nancy Gertner 
U.S. District Court,Male,White,Gerhard Gesell 
U.S. District Court,Male,White,Robert Gettleman 
U.S. District Court,Female,White,Susan Getzendanner 
U.S. Court of Appeals,Male,White,Walter Gewin 
U.S. District Court,Male,White,Walter GexIII
U.S. District Court,Male,White,Samuel Gholson 
U.S. Court of Appeals,Male,White,John Gibbons 
U.S. District Court,Female,White,Julia Gibbons 
U.S. District Court,Male,White,John GibneyJr.
U.S. District Court,Male,African American,Benjamin Gibson 
U.S. District Court,Male,White,Ernest GibsonJr.
U.S. District Court,Male,White,Floyd Gibson 
U.S. District Court,Male,White,Hugh Gibson 
U.S. District Court,Male,White,John Gibson 
U.S. District Court,Male,White,Kim Gibson 
U.S. District Court,Male,White,Robert Gibson 
U.S. District Court,Male,Hispanic,Gilberto Gierbolini-Ortiz 
U.S. District Court,Male,White,Edward Gignoux 
U.S. District Court,Male,White,John Gilbert 
U.S. District Court,Male,White,Robert Gilchrist 
U.S. District Court,Male,African American,James Giles 
U.S. District Court,Male,White,William Giles 
U.S. District Court,Male,White,Donnell Gilliam 
U.S. District Court,Male,African American,Earl Gilliam 
U.S. District Court,Male,African American,Haywood GilliamJr.
U.S. District Court,Female,White,Helen Gillmor 
U.S. Court of Appeals,Male,White,Ronald Gilman 
U.S. District Court,Male,White,Horace Gilmore 
U.S. District Court,Female,African American,Vanessa Gilmore 
U.S. District Court,Male,White,James Gilstrap 
U.S. Court of Appeals,Male,White,Douglas Ginsburg 
U.S. Court of Appeals,Female,White,Ruth Ginsburg 
U.S. District Court,Male,White,Israel Glasser 
U.S. District Court,Female,White,Sharon Gleason 
U.S. District Court,Male,White,John Gleeson 
U.S. District Court,Male,White,Elias Glenn 
U.S. District Court,Male,White,John Glenn 
U.S. District Court,Male,White,John GlennJr.
U.S. District Court,Male,White,David Godbey 
U.S. Court of Appeals,Male,White,John Godbold 
U.S. District Court,Male,White,Henry Goddard 
U.S. District Court,Male,White,Gerard Goettel 
U.S. District Court,Male,White,Alan Gold 
Supreme Court,Male,White,Arthur Goldberg 
U.S. Court of Appeals,Male,White,Irving Goldberg 
U.S. District Court,Male,White,Mitchell Goldberg 
U.S. District Court,Male,White,Thomas Golden 
U.S. District Court,Male,White,Thomas Goldsborough 
U.S. District Court,Male,White,Mark Goldsmith 
U.S. District Court,Male,Hispanic,Kenneth Gonzales 
U.S. District Court,Female,Hispanic,Irma Gonzalez 
U.S. District Court,Male,Hispanic,Jose GonzalezJr.
U.S. District Court,Male,White,Louis Goodman 
U.S. Court of Appeals,Male,White,Herbert Goodrich 
U.S. District Court,Male,White,Alfred Goodwin 
U.S. District Court,Male,White,Charles Goodwin
U.S. District Court,Male,White,Joseph Goodwin 
U.S. District Court,Male,White,William Goodwin 
U.S. District Court,Male,White,James Gorbey 
U.S. District Court,Male,White,Andrew Gordon 
U.S. District Court,Male,White,Eugene Gordon 
U.S. District Court,Male,White,Jack Gordon 
