name,children__name,children__children__name,children__children__size,children__children__children__name,children__children__children__children__size,children__children__children__size
,,,,,,Bennett Clark 
,,,,,,Bert Haney 
,,,,,,Bertram Combs 
,,,,,,Bobby Shepherd 
,,,,,,Boyce MartinJr.
,,,,,,Brett Kavanaugh 
,,,,,,Calvert Magruder 
,,,,,,Carl McGowan 
,,,,,,Chad Readler
,,,,,,Charles Clark 
,,,,,,Charles Clark 
,,,,,,Charles Duell 
,,,,,,Charles Fahy 
,,,,,,Charles Johnson 
,,,,,,Charles Jones 
,,,,,,Charles Merrill 
,,,,,,Charles Robb 
,,,,,,Charles Wiggins 
,,,,,,Charles Woods 
,,,,,,Chester Straub 
,,,,,,Clement HaynsworthJr.
,,,,,,Clifton Mathews 
,,,,,,Collins Seitz 
,,,,,,Constantine Smyth 
,,,,,,Curtis Wilbur 
,,,,,,D. Fisher 
,,,,,,Daniel Bress
,,,,,,Daniel Collins
,,,,,,Daniel Manion 
,,,,,,Danny Boggs 
,,,,,,David Barron 
,,,,,,David Bazelon 
,,,,,,David Ebel 
,,,,,,David Lewis 
,,,,,,David Nelson 
,,,,,,David Porter
,,,,,,David Souter 
,,,,,,David Stahl 
,,,,,,David Stras
,,,,,,David Tatel 
,,,,,,David Thompson 
,,,,,,Dennis Jacobs 
,,,,,,Diarmuid OScannlain 
,,,,,,Don Willett
,,,,,,Donald Lay 
,,,,,,Donald Ross 
,,,,,,Douglas Ginsburg 
,,,,,,E. Jolly 
,,,,,,Edward Carnes 
,,,,,,Edward McEntee 
,,,,,,Elbert Tuttle 
,,,,,,Elijah Prettyman 
,,,,,,Elliott Northcott 
,,,,,,Ellsworth Van Graafeiland 
,,,,,,Elmer Schnackenberg 
,,,,,,Elmo Lee 
,,,,,,Emory Sneeden 
,,,,,,Eric Miller
,,,,,,Eric Murphy
,,,,,,Eugene Wright 
,,,,,,Evan Evans 
,,,,,,Francis Biddle 
,,,,,,Francis Garrecht 
,,,,,,Francis MurnaghanJr.
,,,,,,Frank Coffin 
,,,,,,Frank Easterbrook 
,,,,,,Frank Magill 
,,,,,,Frederick Hamley 
,,,,,,Frederick Vinson 
,,,,,,G. Agee 
,,,,,,George Anderson 
,,,,,,George Bingham 
,,,,,,George EdwardsJr.
,,,,,,George Fagg 
,,,,,,George MacKinnon 
,,,,,,George Page 
,,,,,,George Washington 
,,,,,,Gerald Heaney 
,,,,,,Gerald McLaughlin 
,,,,,,Gilbert MerrittJr.
,,,,,,Glenn ArcherJr.
,,,,,,Gregory Katsas
,,,,,,Gregory Phillips 
,,,,,,Griffin Bell 
,,,,,,Guido Calabresi 
,,,,,,Haldane Mayer 
,,,,,,Hardress Swaim 
,,,,,,Harold DeMossJr.
,,,,,,Harold Leventhal 
,,,,,,Harold Stephens 
,,,,,,Harrie Chase 
,,,,,,Harris Hartz 
,,,,,,Harry Blackmun 
,,,,,,Harry Phillips 
,,,,,,Harvey Johnsen 
,,,,,,Henry Edgerton 
,,,,,,Henry Friendly 
,,,,,,Henry Politz 
,,,,,,Henry Rogers 
,,,,,,Herbert Goodrich 
,,,,,,Herschel Arant 
,,,,,,Homer Bone 
,,,,,,Irving Goldberg 
,,,,,,J. Bell 
,,,,,,J. Luttig 
,,,,,,Jacques WienerJr.
,,,,,,James Barrett 
,,,,,,James Browning 
,,,,,,James Buckley 
,,,,,,James Coleman 
,,,,,,James Dennis 
,,,,,,James Edmondson 
,,,,,,James HunterIII
,,,,,,James Logan 
,,,,,,James Loken 
,,,,,,James PhillipsJr.
,,,,,,James Rosen 
,,,,,,James Ryan 
,,,,,,James Sprouse 
,,,,,,James WilkinsonIII
,,,,,,Jay Bybee 
,,,,,,Jeffrey Howard 
,,,,,,Jeffrey Sutton 
,,,,,,Jerome Frank 
,,,,,,Jerre Williams 
,,,,,,Jerry Smith 
,,,,,,Joel CarsonIII
,,,,,,John BiggsJr.
,,,,,,John Brown 
,,,,,,John Bush
,,,,,,John Coffey 
,,,,,,John Danaher 
,,,,,,John Gibbons 
,,,,,,John Godbold 
,,,,,,John Harlan 
,,,,,,John Hastings 
,,,,,,John Hickey 
,,,,,,John Kelly 
,,,,,,John Mahoney 
,,,,,,John NoonanJr.
,,,,,,John OConnell 
,,,,,,John Owens 
,,,,,,John Parker 
,,,,,,John Pickett 
,,,,,,John RobertsJr.
,,,,,,John Rogers 
,,,,,,John Stevens 
,,,,,,John Wisdom 
,,,,,,Jonathan Kobes
,,,,,,Joseph Lumbard 
,,,,,,Joseph SneedIII
,,,,,,Josiah Van Orsdel 
,,,,,,Julius Richardson
,,,,,,Justin Miller 
,,,,,,Kenneth Ripple 
,,,,,,Kenneth Starr 
,,,,,,Kermit Bye 
,,,,,,Kermit Lipez 
,,,,,,Kevin Newsom
,,,,,,Kimbrough Stone 
,,,,,,Latham Castle 
,,,,,,Laurence Silberman 
,,,,,,Lawrence VanDyke
,,,,,,Leon McCord 
,,,,,,Leonard Grasz
,,,,,,Leonard Moore 
,,,,,,Leslie Southwick 
,,,,,,M. Michael 
,,,,,,Malcolm Wilkey 
,,,,,,Marion Matthes 
,,,,,,Mark Bennett
,,,,,,Martin Morris 
,,,,,,Martin Van Oosterhout 
,,,,,,Maurice Donahue 
,,,,,,Max Rosenn 
,,,,,,Melvin Brunetti 
,,,,,,Merrick Garland 
,,,,,,Michael Brennan
,,,,,,Michael Chagares 
,,,,,,Michael Chertoff 
,,,,,,Michael Hawkins 
,,,,,,Michael McConnell 
,,,,,,Michael Murphy 
,,,,,,Michael ScudderJr.
,,,,,,Milan SmithJr.
,,,,,,Monroe McKay 
,,,,,,Montgomery Koelsch 
,,,,,,Morton Greenberg 
,,,,,,Myron Bright 
,,,,,,Norman Smith 
,,,,,,Nathan Bryan 
,,,,,,Neil Gorsuch 
,,,,,,Oliver Seth 
,,,,,,Otto KernerJr.
,,,,,,Otto KernerSr.
,,,,,,Ozell Trask 
,,,,,,Pasco BowmanII
,,,,,,Pat Mehaffy 
,,,,,,Paul Hays 
,,,,,,Paul KellyJr.
,,,,,,Paul Matey
,,,,,,Paul Michel 
,,,,,,Paul Roney 
,,,,,,Peter Hall 
,,,,,,Peter Woodbury 
,,,,,,Philip Finnegan 
,,,,,,Pierce Lively 
,,,,,,Potter Stewart 
,,,,,,Procter HugJr.
,,,,,,Robert AndersonIII
,,,,,,Ralph WinterJr.
,,,,,,Randall Rader 
,,,,,,Raymond ClevengerIII
,,,,,,Raymond Fisher 
,,,,,,Raymond Gruender 
,,,,,,Raymond Kethledge 
,,,,,,Rhesa Barksdale 
,,,,,,Richard Alvey 
,,,,,,Richard Cardamone 
,,,,,,Richard Chambers 
,,,,,,Richard Clifton 
,,,,,,Richard Cudahy 
,,,,,,Richard Griffin 
,,,,,,Richard Linn 
,,,,,,Richard Nygaard 
,,,,,,Richard Posner 
