jid,nid,last_name,first_name,middle_name,suffix,birth_month,birth_day,birth_year,birth_city,birth_state,gender,race_or_ethnicity,court_type
3563,1394646,Abrams,Leslie,Joyce, ,,,1974,Madison,WI,Female,African American,U.S. District Court
3419,1393931,Abrams,Ronnie, , ,,,1968,New York,NY,Female,White,U.S. District Court
1,1376976,Abruzzo,Matthew,T., ,4,30,1889,Brooklyn,NY,Male,White,U.S. District Court
2,1376981,Acheson,Marcus,Wilson, ,6,7,1828,Washington,PA,Male,White,U.S. District Court
3,1376986,Acker,William,Marsh,Jr.,10,25,1927,Birmingham,AL,Male,White,U.S. District Court
4,1376991,Ackerman,Harold,Arnold, ,2,15,1928,Newark,NJ,Male,White,U.S. District Court
5,1376996,Ackerman,James,Waldo, ,1,1,1926,Jacksonville,FL,Male,White,U.S. District Court
6,1377001,Acosta,Raymond,L., ,5,31,1925,New York,NY,Male,Hispanic,U.S. District Court
7,1377006,Adair,Jackson,Leroy, ,2,23,1887,Clayton,IL,Male,White,U.S. District Court
8,1377011,Adams,Arlin,Marvin, ,4,16,1921,Philadelphia,PA,Male,White,U.S. Court of Appeals
9,1377016,Adams,Elmer,Bragg, ,10,27,1842,Pomfret,VT,Male,White,U.S. District Court
10,1377021,Adams,George, , ,8,1,1784,Lynchburg,VA,Male,White,U.S. District Court
11,1377026,Adams,George,Bethune, ,4,3,1845,Philadelphia,PA,Male,White,U.S. District Court
12,1377031,Adams,Henry,Lee,Jr.,,,1945,Jacksonville,FL,Male,African American,U.S. District Court
2989,1391781,Adams,John,R., ,,,1955,Orrville,OH,Male,White,U.S. District Court
3295,1393311,Adamson,William,Charles, ,8,13,1854,Bowdon,GA,Male,White,Other
2717,1390426,Adelman,Lynn,S., ,,,1939,Milwaukee,WI,Male,White,U.S. District Court
13,1377036,Adkins,Jesse,Corcoran, ,4,13,1879,Knoxville,TN,Male,White,U.S. District Court
14,1377041,Adler,Simon,Louis, ,8,30,1867,Seneca Falls,NY,Male,White,U.S. District Court
2927,1391471,Africk,Lance,M., ,,,1951,New York,NY,Male,White,U.S. District Court
3174,1392706,Agee,G.,Steven, ,,,1952,Roanoke,VA,Male,White,U.S. Court of Appeals
15,1377046,Aguilar,Robert,Peter, ,,,1931,Madera,CA,Male,Hispanic,U.S. District Court
2750,1390586,Aiken,Ann,L., ,,,1951,Salem,OR,Female,White,U.S. District Court
16,1377051,Ainsworth,Robert,Andrew,Jr.,5,10,1910,Gulfport,MS,Male,White,U.S. District Court
17,1377056,Akerman,Alexander, , ,10,9,1869,Elberton,GA,Male,White,U.S. District Court
18,1377061,Alaimo,Anthony,A., ,3,29,1920,"Termini, Sicily",Italy,Male,White,U.S. District Court
19,1377066,Alarc?n,Arthur,Lawrence, ,8,14,1925,Los Angeles,CA,Male,Hispanic,U.S. Court of Appeals
5198506,5198506,Albright,Alan,D,,,,1959,Dauphin,PA,Male,White,U.S. District Court
20,1377071,Albritton,William,Harold,III,,,1936,Andalusia,AL,Male,White,U.S. District Court
21,1377076,Aldisert,Ruggero,John, ,11,10,1919,Carnegie,PA,Male,White,U.S. Court of Appeals
22,1377081,Aldrich,Ann, , ,6,28,1927,Providence,RI,Female,White,U.S. District Court
23,1377086,Aldrich,Bailey, , ,4,23,1907,Boston,MA,Male,White,U.S. District Court
24,1377091,Aldrich,Edgar, , ,2,5,1848,Pittsburg,NH,Male,White,U.S. District Court
25,1377096,Alesia,James,Henry, ,7,16,1934,Chicago,IL,Male,White,U.S. District Court
26,1377101,Alito,Samuel,A.,Jr.,,,1950,Trenton,NJ,Male,White,U.S. Court of Appeals
3373,1393701,Allen,Arenda,Lauretta Wright, ,,,1960,Philadelphia,PA,Female,African American,U.S. District Court
27,1377106,Allen,Charles,Mengel, ,11,22,1916,Louisville,KY,Male,White,U.S. District Court
28,1377111,Allen,Florence,Ellinwood, ,3,23,1884,Salt Lake City,UT,Female,White,U.S. Court of Appeals
29,1377116,Allen,William,Joshua, ,6,9,1829,Wilson County,TN,Male,White,U.S. District Court
30,1377121,Alley,Wayne,Edward, ,,,1932,Portland,OR,Male,White,U.S. District Court
31,1377126,Allgood,Clarence,W., ,9,12,1902,Birmingham,AL,Male,White,U.S. District Court
32,1377131,Allred,James,V., ,3,29,1899,Bowie,TX,Male,White,U.S. District Court
2705,1390376,Almond,James,Lindsay,Jr.,6,15,1898,Charlottesville,VA,Male,White,Other
3576,1394711,Alonso,Jorge,Luis, ,,,1966,Sagua La Grande,Cuba,Male,Hispanic,U.S. District Court
33,1377136,Alschuler,Samuel, , ,11,20,1859,Chicago,IL,Male,White,U.S. Court of Appeals
34,1377141,Alsop,Donald,Douglas, ,,,1927,Duluth,MN,Male,White,U.S. District Court
6586021,6586021,Alston,Rossie,David,Jr.,,,1957,Washington,DC,Male,African American,U.S. District Court
2827,1390971,Alsup,William,Haskell, ,,,1945,Jackson,MS,Male,White,U.S. District Court
35,1377146,Altimari,Frank,X., ,9,4,1928,Queens,NY,Male,White,U.S. District Court
6244926,6244926,Altman,Roy,Kalman,,,,1982,Caracas,Venezuela,Male,Hispanic,U.S. District Court
2997,1391821,Altonaga,Cecilia,M., ,,,1962,Baltimore,MD,Female,Hispanic,U.S. District Court
3080,1392236,Alvarez,Micaela, , ,,,1958,Donna,TX,Female,Hispanic,U.S. District Court
36,1377151,Alvey,Richard,Henry, ,3,6,1826,St. Mary`s County,MD,Male,White,U.S. Court of Appeals
2850,1391086,Ambro,Thomas,L., ,,,1949,Cambridge,OH,Male,White,U.S. Court of Appeals
37,1377156,Ambrose,Donetta,W., ,,,1945,New Kensington,PA,Female,White,U.S. District Court
38,1377161,Amidon,Charles,Fremont, ,8,17,1856,Clymer,NY,Male,White,U.S. District Court
39,1377166,Amon,Carol,Bagley, ,,,1946,Richmond,VA,Female,White,U.S. District Court
40,1377171,Andersen,Wayne,R., ,,,1945,Chicago,IL,Male,White,U.S. District Court
41,1377176,Anderson,Albert,Barnes, ,2,10,1857,Zionsville,IN,Male,White,U.S. District Court
42,1377181,Anderson,Aldon,Junior, ,1,3,1917,Salt Lake City,UT,Male,White,U.S. District Court
43,1377186,Anderson,George,Ross,Jr.,,,1929,Anderson,SC,Male,White,U.S. District Court
44,1377191,Anderson,George,Weston, ,9,1,1861,Acworth,NH,Male,White,U.S. Court of Appeals
45,1377196,Anderson,Harry,Bennett, ,11,5,1879,Van Buren County,MI,Male,White,U.S. District Court
46,1377201,Anderson,J.,Blaine, ,1,19,1922,Trenton,UT,Male,White,U.S. District Court
47,1377206,Anderson,Joseph,Fletcher,Jr.,,,1949,Augusta,GA,Male,White,U.S. District Court
2928,1391476,Anderson,Percy, , ,,,1948,Long Beach,CA,Male,African American,U.S. District Court
49,1377216,Anderson,Robert,Palmer, ,3,27,1906,Noank (Town of Groton),CT,Male,White,U.S. District Court
48,1377211,Anderson,Robert,Lanier,III,,,1936,Macon,GA,Male,White,U.S. Court of Appeals
3173,1392701,Anderson,Stanley,Thomas, ,,,1953,Lexington,TN,Male,White,U.S. District Court
50,1377221,Anderson,Stephen,Hale, ,,,1932,Salt Lake City,UT,Male,White,U.S. Court of Appeals
51,1377226,Anderson,Thomas,H., ,6,6,1848,Belmont County,OH,Male,White,U.S. District Court
2691,1390306,Andrews,Maurice,Neil, ,12,24,1894,LaFayette,GA,Male,White,U.S. District Court
3402,1393846,Andrews,Richard,Gibson, ,,,1955,Manchester,England,Male,White,U.S. District Court
3188,1392776,Anello,Michael,M., ,,,1943,Miami,FL,Male,White,U.S. District Court
52,1377231,Angell,Alexis,Caswell, ,4,26,1857,Providence,RI,Male,White,U.S. District Court
2857,1391121,Antoon,John, ,II,,,1946,Bakersfield,CA,Male,White,U.S. District Court
3197,1392821,Aquilino,Thomas,Joseph,Jr.,,,1939,Mt. Kisco,NY,Male,White,Other
54,1377236,Arant,Herschel,Whitfield, ,7,18,1887,Church Hill,AL,Male,White,U.S. Court of Appeals
55,1377241,Arcara,Richard,Joseph, ,,,1940,Buffalo,NY,Male,White,U.S. District Court
56,1377246,Arceneaux,George, ,Jr.,5,17,1928,New Orleans,LA,Male,White,U.S. District Court
57,1377251,Archbald,Robert,Wodrow, ,9,10,1848,Carbondale,PA,Male,White,U.S. District Court
58,1377256,Archer,Glenn,Leroy,Jr.,3,21,1929,Densmore,KS,Male,White,U.S. Court of Appeals
3190,1392786,Arguello,Christine,M., ,,,1955,Thatcher,CO,Female,Hispanic,U.S. District Court
6385001,6385001,Arias-Marxuach,Ra?l,Manuel,,,,1967,San Juan,Puerto Rico,Male,Hispanic,U.S. District Court
3568,1394671,Arleo,Madeline,Cox, ,,,1963,Jersey City,NJ,Female,White,U.S. District Court
2898,1391326,Armijo,M.,Christina, ,,,1951,Las Vegas,NM,Female,Hispanic,U.S. District Court
59,1377261,Armstrong,Saundra,Brown, ,,,1947,Oakland,CA,Female,African American,U.S. District Court
60,1377266,Arnold,Morris,Sheppard, ,,,1941,Texarkana,TX,Male,White,U.S. District Court
61,1377271,Arnold,Richard,Sheppard, ,3,26,1936,Texarkana,TX,Male,White,U.S. District Court
62,1377276,Arnold,Thurman,Wesley, ,6,2,1891,Laramie,WY,Male,White,U.S. Court of Appeals
63,1377281,Arnow,Winston,Eugene, ,3,13,1911,Micanopy,FL,Male,White,U.S. District Court
64,1377286,Aronovitz,Sidney,Myer, ,6,20,1920,Key West,FL,Male,White,U.S. District Court
65,1377291,Arraj,Alfred,Albert, ,9,1,1906,Kansas City,MO,Male,White,U.S. District Court
66,1377296,Arterton,Janet,Bond, ,,,1944,Philadelphia,PA,Female,White,U.S. District Court
5153446,5153446,Ashe,Barry,Weldon,,,,1956,New Orleans,LA,Male,White,U.S. District Court
67,1377301,Aspen,Marvin,E., ,,,1934,Chicago,IL,Male,White,U.S. District Court
68,1377306,Atkins,Carl,Clyde, ,11,23,1914,Washington,DC,Male,White,U.S. District Court
3244,1393056,Atkinson,George,Wesley, ,6,29,1845,Charleston,VA (now WV),Male,White,Other
69,1377311,Atlas,Nancy,Friedman, ,,,1949,New York,NY,Female,White,U.S. District Court
70,1377316,Atwell,William,Hawley, ,6,9,1869,Sparta,WI,Male,White,U.S. District Court
71,1377321,Augelli,Anthony,Thomas, ,3,27,1902,Orsara,Italy,Male,White,U.S. District Court
72,1377326,Austin,Richard,Bevan, ,1,23,1901,Chicago,IL,Male,White,U.S. District Court
2949,1391581,Autrey,Henry,Edward, ,,,1952,Mobile,AL,Male,African American,U.S. District Court
73,1377331,Avis,John,Boyd, ,7,11,1875,Deerfield,NJ,Male,White,U.S. District Court
4738061,4738061,Axon,Annemarie,Carney,,,,1973,Winter Park,FL,Female,White,U.S. District Court
3161,1392641,Aycock,Sharion, , ,,,1955,Tupelo,MS,Female,White,U.S. District Court
3577,1394716,Azrack,Joan,Marie, ,,,1951,Neptune,NJ,Female,White,U.S. District Court
74,1377336,Babcock,Lewis,Thornton, ,,,1943,Rocky Ford,CO,Male,White,U.S. District Court
3459,1394126,Bacharach,Robert,Edwin, ,,,1959,Clarksdale,MS,Male,White,U.S. Court of Appeals
6202901,6202901,Bade,Bridget,Shelton,,,,1965,Phoenix,AZ,Female,White,U.S. Court of Appeals
75,1377341,Baer,Harold, ,Jr.,2,16,1933,New York,NY,Male,White,U.S. District Court
3141,1392541,Bailey,John,Preston, ,,,1951,Wheeling,WV,Male,White,U.S. District Court
76,1377346,Bailey,Thomas,Jennings, ,6,6,1867,Nashville,TN,Male,White,U.S. District Court
77,1377351,Baird,Lourdes,Gillespie, ,,,1935,Quito,Ecuador,Female,Hispanic,U.S. District Court
78,1377356,Baker,Francis,Elisha, ,10,20,1860,Goshen,IN,Male,White,U.S. Circuit Court (1869-1911)
79,1377361,Baker,Harold,Albert, ,,,1929,Mt. Kisco,NY,Male,White,U.S. District Court
80,1377366,Baker,John,Harris, ,2,28,1832,Parma Township,NY,Male,White,U.S. District Court
3427,1393971,Baker,Kristine,Gerhard, ,,,1971,Colorado Springs,CO,Female,White,U.S. District Court
6841726,6841726,Baker,M.,Miller,,,,1962,Houma,LA,Male,White,Other
5152936,5152936,Baker,R.,Stan,,,,1977,Athens,GA,Male,White,U.S. District Court
81,1377371,Baker,William,Eli, ,2,25,1873,Beverly,WV,Male,White,U.S. District Court
82,1377376,Baldock,Bobby,Ray, ,,,1936,Rocky,OK,Male,White,U.S. District Court
83,1377381,Baldwin,Alexander,White, ,6,,1835,Gainesville,AL,Male,White,U.S. District Court
84,1377386,Baldwin,Henry, , ,1,14,1780,New Haven,CT,Male,White,Supreme Court
85,1377391,Baldwin,James,Harris, ,8,1,1876,St. Joseph,MO,Male,White,U.S. District Court
86,1377396,Baldwin,Phillip,Benjamin, ,12,23,1924,Marshall,TX,Male,White,Other
87,1377401,Ballantine,Thomas,Austin,Jr.,9,22,1926,Louisville,KY,Male,White,U.S. District Court
88,1377406,Ballard,Bland, , ,9,4,1819,Shelby County,KY,Male,White,U.S. District Court
89,1377411,Baltzell,Robert,C., ,8,15,1879,Lawrence County,IL,Male,White,U.S. District Court
90,1377416,Barbadoro,Paul,J., ,,,1955,Providence,RI,Male,White,U.S. District Court
3329,1393481,Barber,Orion,Metcalf, ,7,13,1857,Jamaica,VT,Male,White,Other
6595046,6595046,Barber,Thomas,Patrick,,,,1966,Pittsburgh,PA,Male,White,U.S. District Court
2808,1390876,Barbier,Carl,J., ,,,1944,New Orleans,LA,Male,White,U.S. District Court
91,1377421,Barbour,Philip,Pendelton, ,5,25,1783,Orange County,VA,Male,White,U.S. District Court
92,1377426,Barbour,William,Henry,Jr.,,,1941,Yazoo City,MS,Male,White,U.S. District Court
93,1377431,Bard,Guy,Kurtz, ,10,24,1895,Lincoln,PA,Male,White,U.S. District Court
6379986,6379986,Barker,J.,Campbell,,,,1980,New Orleans,LA,Male,White,U.S. District Court
6594531,6594531,Barker,Pamela,Ann,,,,1957,Cleveland,OH,Female,White,U.S. District Court
94,1377436,Barker,Sarah,Evans, ,,,1943,Mishawaka,IN,Female,White,U.S. District Court
95,1377441,Barker,William,Julius, ,6,25,1886,Marietta,GA,Male,White,U.S. District Court
96,1377446,Barkett,Rosemary, , ,,,1939,"Ciudad Victoria, Tamaulipas",Mexico,Female,White,U.S. Court of Appeals
97,1377451,Barksdale,Alfred,Dickinson, ,7,17,1892,Houston (now Halifax),VA,Male,White,U.S. District Court
98,1377456,Barksdale,Rhesa,Hawkins, ,,,1944,Jackson,MS,Male,White,U.S. Court of Appeals
7465661,7465661,Barlow,David,Bruce,,,,1971,Provo,UT,Male,White,U.S. District Court
99,1377461,Barlow,George,Herbert, ,1,4,1921,Trenton,NJ,Male,White,U.S. District Court
100,1377466,Barnard,Job, , ,6,8,1844,Porter County,IN,Male,White,U.S. District Court
101,1377471,Barnes,David,Leonard, ,1,28,1760,Scituate,MA,Male,White,U.S. District Court
102,1377476,Barnes,Harry,F., ,5,14,1932,Memphis,TN,Male,White,U.S. District Court
103,1377481,Barnes,John,Peter, ,3,15,1881,Beaver County,PA,Male,White,U.S. District Court
104,1377486,Barnes,Stanley,Nelson, ,5,1,1900,Baraboo,WI,Male,White,U.S. Court of Appeals
3478,1394221,Barnett,Mark,Allen, ,,,1963,Reading,PA,Male,White,Other
3235,1393011,Barney,Samuel,Stebbins, ,1,31,1846,Hartford,WI,Male,White,Other
105,1377491,Barr,John,Watson, ,12,17,1826,Versailles,KY,Male,White,U.S. District Court
3979311,3979311,Barrett,Amy,Coney,,,,1972,New Orleans,LA,Female,White,U.S. Court of Appeals
106,1377496,Barrett,James,Emmett, ,4,8,1922,Lusk,WY,Male,White,U.S. Court of Appeals
3110,1392386,Barrett,Michael,Ryan, ,,,1951,Cincinnati,OH,Male,White,U.S. District Court
107,1377501,Barrett,William,Hale, ,9,10,1866, , ,Male,White,U.S. District Court
3540,1394531,Barron,David,Jeremiah, ,,,1967,Washington,DC,Male,White,U.S. Court of Appeals
108,1377506,Barrow,Allen,Edward, ,1,22,1914,Okemah,OK,Male,White,U.S. District Court
109,1377511,Barry,Maryanne,Trump, ,,,1937,New York,NY,Female,White,U.S. District Court
110,1377516,Bartels,John,Ries, ,11,8,1897,Baltimore,MD,Male,White,U.S. District Court
111,1377521,Bartle,Harvey, ,III,,,1941,Bryn Mawr,PA,Male,White,U.S. District Court
112,1377526,Bartlett,D.,Brook, ,2,22,1937,Kansas City,MO,Male,White,U.S. District Court
3198,1392826,Barzilay,Judith,Morgenstern, ,,,1944,Russell,KS,Female,White,Other
3524,1394451,Bashant,Cynthia,Ann, ,,,1960,San Francisco,CA,Female,White,U.S. District Court
113,1377531,Bassett,Richard, , ,4,2,1745,Cecil County,MD,Male,White,U.S. Circuit Court (1801-1802)
114,1377536,Bassler,William,G., ,,,1938,Butler,PA,Male,White,U.S. District Court
3525,1394456,Bastian,Stanley,Allen, ,,,1958,Seattle,WA,Male,White,U.S. District Court
115,1377541,Bastian,Walter,Maximillian, ,11,16,1891,Washington,DC,Male,White,U.S. District Court
2718,1390431,Bataillon,Joseph,F., ,,,1949,Omaha,NE,Male,White,U.S. District Court
116,1377546,Batchelder,Alice,Moore, ,,,1944,Wilmington,DE,Female,White,U.S. District Court
2909,1391381,Bates,John,D., ,,,1946,Elizabeth,NJ,Male,White,U.S. District Court
3360,1393636,Battaglia,Anthony,Joseph, ,,,1949,San Diego,CA,Male,White,U.S. District Court
2858,1391126,Battani,Marianne,O., ,,,1944,Detroit,MI,Female,White,U.S. District Court
3102,1392346,Batten,Timothy,C.,Sr.,,,1960,Atlanta,GA,Male,White,U.S. District Court
117,1377551,Battey,Richard,Howard, ,10,16,1929,Aberdeen,SD,Male,White,U.S. District Court
118,1377556,Battin,James,Franklin, ,2,13,1925,Wichita,KS,Male,White,U.S. District Court
119,1377561,Battisti,Frank,Joseph, ,10,4,1922,Youngstown,OH,Male,White,U.S. District Court
120,1377566,Batts,Deborah,A., ,,,1947,Philadelphia,PA,Female,African American,U.S. District Court
121,1377571,Batts,Robert,Lynn, ,11,1,1864,Bastrop,TX,Male,White,U.S. Court of Appeals
122,1377576,Bauer,William,Joseph, ,,,1926,Chicago,IL,Male,White,U.S. District Court
123,1377581,Bauman,Arnold, , ,7,25,1914,New York,NY,Male,White,U.S. District Court
124,1377586,Baxter,John, , ,3,5,1819,Rutherford County,NC,Male,White,U.S. Circuit Court (1869-1911)
5153456,5153456,Baxter,Susan,Paradise,,,,1956,Latrobe,PA,Female,White,U.S. District Court
2941,1391541,Baylson,Michael,M., ,,,1939,Philadelphia,PA,Male,White,U.S. District Court
125,1377591,Bazelon,David,L., ,9,3,1909,Superior,WI,Male,White,U.S. Court of Appeals
3036,1392016,Bea,Carlos,T., ,,,1934,San Sebastian,Spain,Male,Hispanic,U.S. Court of Appeals
126,1377596,Beam,Clarence,Arlen, ,,,1930,Stapleton,NE,Male,White,U.S. District Court
127,1377601,Beamer,George,N., ,10,9,1904,Bowling Green,IN,Male,White,U.S. District Court
128,1377606,Bean,Robert,Sharp, ,11,28,1854,Yamhill County,OR,Male,White,U.S. District Court
129,1377611,Beattie,Charlton,Reid, ,4,22,1869,Assumption Parish,LA,Male,White,U.S. District Court
130,1377616,Beatty,James,Helmick, ,5,8,1836,Lancaster,OH,Male,White,U.S. District Court
131,1377621,Beatty,William,Louis, ,9,4,1925,Mendota,IL,Male,White,U.S. District Court
132,1377626,Beaty,James,A.,Jr.,,,1949,Whitmire,SC,Male,African American,U.S. District Court
133,1377631,Beaumont,Campbell,Eben, ,8,27,1883,Mayfield,KY,Male,White,U.S. District Court
5018781,5018781,Beaverstock,Jeffrey,Uhlman,,,,1968,Waterbury,CT,Male,White,U.S. District Court
134,1377636,Bechtle,Louis,Charles, ,,,1927,Philadelphia,PA,Male,White,U.S. District Court
135,1377641,Beck,Axel,John, ,5,6,1894, ,Sweden,Male,White,U.S. District Court
136,1377646,Becker,Edward,Roy, ,5,4,1933,Philadelphia,PA,Male,White,U.S. District Court
137,1377651,Becker,William,Henry, ,8,26,1909,Brookhaven,MS,Male,White,U.S. District Court
138,1377656,Beckwith,Sandra,Shank, ,,,1943,Norfolk,VA,Female,White,U.S. District Court
3297,1393321,Beckworth,Lindley,Garrison,Sr.,6,30,1913,Kaufman,TX,Male,White,Other
139,1377661,Bedford,Gunning, ,Jr.,,,1747,Philadelphia,PA,Male,White,U.S. District Court
140,1377666,Bee,Thomas, , ,,,1739,Charleston,SC,Male,White,U.S. District Court
141,1377671,Beeks,William,Trulock, ,5,6,1906,El Reno,OK,Male,White,U.S. District Court
142,1377676,Beer,Peter,Hill, ,4,12,1928,New Orleans,LA,Male,White,U.S. District Court
3569,1394676,Beetlestone,Wendy, , ,,,1961,Ibadan,Nigeria,Female,African American/White,U.S. District Court
143,1377681,Beezer,Robert,R., ,7,21,1928,Seattle,WA,Male,White,U.S. Court of Appeals
2924,1391456,Beistline,Ralph,R., ,,,1948,Fairbanks,AK,Male,White,U.S. District Court
144,1377686,Belew,David,Owen,Jr.,3,27,1920,Fort Worth,TX,Male,White,U.S. District Court
145,1377691,Bell,Griffin,Boyette, ,10,31,1918,Americus,GA,Male,White,U.S. Court of Appeals
146,1377696,Bell,J.,Spencer, ,4,1,1906,Charlotte,NC,Male,White,U.S. Court of Appeals
6489616,6489616,Bell,Kenneth,Davis,Sr.,,,1958,Bedford,OH,Male,White,U.S. District Court
147,1377701,Bell,Robert,Cook, ,11,1,1880,Harrisonville,MO,Male,White,U.S. District Court
148,1377706,Bell,Robert,Holmes, ,,,1944,Lansing,MI,Male,White,U.S. District Court
149,1377711,Bell,Samuel,H., ,12,31,1925,Rochester,NY,Male,White,U.S. District Court
150,1377716,Bellinger,Charles,Byron, ,11,21,1839,Maquon,IL,Male,White,U.S. District Court
151,1377721,Belloni,Robert,Clinton, ,4,4,1919,Riverton,OR,Male,White,U.S. District Court
152,1377726,Belot,Monti,L., ,,,1943,Kansas City,MO,Male,White,U.S. District Court
153,1377731,Benavides,Fortunato,Pedro, ,,,1947,Mission,TX,Male,Hispanic,U.S. Court of Appeals
3411,1393891,Bencivengo,Cathy,Ann, ,,,1958,Teaneck,NJ,Female,White,U.S. District Court
154,1377736,Benedict,Charles,Linnaeus, ,3,2,1824,Newbury,VT,Male,White,U.S. District Court
3066,1392166,Benitez,Roger,T., ,,,1950,Havana,Cuba,Male,Hispanic,U.S. District Court
3588,1394771,Bennett,Alfred,Homer, ,,,1965,Ennis,TX,Male,African American,U.S. District Court
155,1377741,Bennett,Marion,Tinsley, ,6,6,1914,Buffalo,MO,Male,White,Other
4908101,4908101,Bennett,Mark,Jeremy,,,,1953,Brooklyn,NY,Male,White,U.S. Court of Appeals
156,1377746,Bennett,Mark,W., ,,,1950,Milwaukee,WI,Male,White,U.S. District Court
2996,1391816,Bennett,Richard,D., ,,,1947,Baltimore,MD,Male,White,U.S. District Court
157,1377751,Benson,Dee,Vance, ,,,1948,Sandy,UT,Male,White,U.S. District Court
158,1377756,Benson,Egbert, , ,6,21,1746,New York,NY,Male,White,U.S. Circuit Court (1801-1802)
160,1377766,Benson,Paul, , ,6,1,1918,"Greenville Township, Verona",ND,Male,White,U.S. District Court
3070,1392186,Benton,William,Duane, ,,,1950,Springfield,MO,Male,White,U.S. Court of Appeals
3448,1394071,Berg,Terrence,George, ,,,1959,Detroit,MI,Male,White,U.S. District Court
3223,1392951,Berger,Irene,Cornelia, ,,,1954,Richlands,VA,Female,African American,U.S. District Court
6801611,6801611,Berger,Wendy,Williams,,,,1968,Athens,GA,Female,White,U.S. District Court
2791,1390791,Berman,Richard,M., ,,,1943,New York,NY,Male,White,U.S. District Court
3450,1394081,Bernal,Jesus,Gilberto, ,,,1963,"Culiacan, Sinaloa",Mexico,Male,Hispanic,U.S. District Court
161,1377771,Berrigan,Helen,Ginger, ,,,1948,New Rochelle,NY,Female,White,U.S. District Court
162,1377776,Bertelsman,William,Odis, ,,,1936,Cincinnati,OH,Male,White,U.S. District Court
2856,1391116,Berzon,Marsha,Siegel, ,,,1945,Cincinnati,OH,Female,White,U.S. Court of Appeals
3130,1392486,Besosa,Francisco,Augusto, ,,,1949,San Juan,Puerto Rico,Male,Hispanic,U.S. District Court
163,1377781,Bethea,Solomon,Hicks, ,5,18,1852,Lee County,IL,Male,White,U.S. District Court
164,1377786,Betts,Samuel,Rossiter, ,6,8,1786,Richmond,MA,Male,White,U.S. District Court
3095,1392311,Bianco,Joseph,Frank, ,,,1966,Flushing,NY,Male,White,U.S. District Court
3989731,3989731,Bibas,Stephanos,,,,,1969,Queens,NY,Male,White,U.S. Court of Appeals
165,1377791,Bicks,Alexander, , ,3,17,1901, ,Russia,Male,White,U.S. District Court
166,1377796,Biddle,Francis, , ,5,9,1886,Paris,France,Male,White,U.S. Court of Appeals
167,1377801,Biery,Samuel,Frederick,Jr.,,,1947,McAllen,TX,Male,White,U.S. District Court
168,1377806,Biggers,Neal,Brooks,Jr.,,,1935,Corinth,MS,Male,White,U.S. District Court
169,1377811,Biggs,Asa, , ,2,4,1811,Williamston,NC,Male,White,U.S. District Court
170,1377816,Biggs,John, ,Jr.,10,6,1895,Wilmington,DE,Male,White,U.S. Court of Appeals
3578,1394721,Biggs,Loretta,Copeland, ,,,1954,Atlanta,GA,Female,African American,U.S. District Court
171,1377821,Bilby,Richard,Mansfield, ,5,29,1931,Tucson,AZ,Male,White,U.S. District Court
172,1377826,Billings,Edward,Coke, ,12,3,1829,Hatfield,MA,Male,White,U.S. District Court
173,1377831,Billings,Franklin,S.,Jr.,6,5,1922,Woodstock,VT,Male,White,U.S. District Court
174,1377836,Bingham,Edward,Franklin, ,8,13,1828,West Concord,VT,Male,White,U.S. District Court
175,1377841,Bingham,George,Hutchins, ,8,19,1864,Littleton,NH,Male,White,U.S. Court of Appeals
176,1377846,Birch,Stanley,F.,Jr.,,,1945,Langley Field,VA,Male,White,U.S. Court of Appeals
3556,1394611,Birotte,Andre, ,Jr.,,,1966,Newark,NJ,Male,African American,U.S. District Court
177,1377851,Bissell,Jean,Galloway, ,6,9,1936,Due West,SC,Female,White,U.S. Court of Appeals
178,1377856,Bissell,John,Winslow, ,,,1940,Exeter,NH,Male,White,U.S. District Court
3396,1393816,Bissoon,Cathy, , ,,,1968,Brooklyn,NY,Female,Asian American/Hispanic,U.S. District Court
179,1377861,Biunno,Vincent,Pasquale, ,2,2,1916,Newark,NJ,Male,White,U.S. District Court
180,1377866,Black,Bruce,D., ,,,1947,Detroit,MI,Male,White,U.S. District Court
181,1377871,Black,Hugo,Lafayette, ,2,27,1886,Clay County,AL,Male,White,Supreme Court
182,1377876,Black,Lloyd,Llewellyn, ,3,15,1889,Leavenworth,KS,Male,White,U.S. District Court
183,1377881,Black,Norman,William, ,12,6,1931,Houston,TX,Male,White,U.S. District Court
184,1377886,Black,Susan,Harrell, ,,,1943,Valdosta,GA,Female,White,U.S. District Court
3259,1393131,Black,Timothy,Seymour, ,,,1953,Brookline,MA,Male,White,U.S. District Court
185,1377891,Black,Walter,Evan,Jr.,7,7,1926,Baltimore,MD,Male,White,U.S. District Court
2922,1391446,Blackburn,Robert,E., ,,,1950,Lakewood,CO,Male,White,U.S. District Court
186,1377896,Blackburn,Sharon,Lovelace, ,,,1950,Pensacola,FL,Female,White,U.S. District Court
3234,1393006,Blackford,Isaac,Newton, ,11,6,1786,Bound Brook,NJ,Male,White,Other
187,1377901,Blackmun,Harry,Andrew, ,11,12,1908,Nashville,IL,Male,White,U.S. Court of Appeals
188,1377906,Blair,Charles,Stanley, ,12,20,1927,Kingsville,MD,Male,White,U.S. District Court
189,1377911,Blair,John, ,Jr.,,,1732,Williamsburg,VA,Male,White,Supreme Court
190,1377916,Blake,Catherine,C., ,,,1950,Boston,MA,Female,White,U.S. District Court
3579,1394726,Blakey,John,Robert, ,,,1965,South Bend,IN,Male,White,U.S. District Court
