jid,nid,last_name,first_name,middle_name,suffix,birth_month,birth_day,birth_year,birth_city,birth_state,gender,race_or_ethnicity,court_type
696,1380431,Eicher,Edward,Clayton, ,12,16,1878,Noble,IA,Male,White,U.S. District Court
3989726,3989726,Eid,Allison,Hartwell,,,,1965,Seattle,WA,Female,White,U.S. Court of Appeals
697,1380436,Eisele,Garnett,Thomas, ,11,3,1923,Hot Springs,AR,Male,White,U.S. District Court
3301,1393341,Ekwall,William,Alexander, ,6,14,1887,Ludington,MI,Male,White,Other
698,1380441,Elfvin,John,Thomas, ,6,30,1917,Montour Falls,NY,Male,White,U.S. District Court
699,1380446,Elliott,James,Douglas, ,10,7,1859,Mt. Sterling,IL,Male,White,U.S. District Court
700,1380451,Elliott,James,Robert, ,1,1,1910,Gainesville,GA,Male,White,U.S. District Court
701,1380456,Ellis,Frank,Burton, ,2,10,1907,Covington,LA,Male,White,U.S. District Court
702,1380461,Ellis,Powhatan, , ,1,17,1790,Amherst County,VA,Male,White,U.S. District Court
3491,1394286,Ellis,Sara,Lee, ,,,1969,"London, Ontario",Canada,Female,African American,U.S. District Court
703,1380466,Ellis,Thomas,Selby,III,,,1940,Bogota,Colombia,Male,White,U.S. District Court
704,1380471,Ellison,James,O., ,1,11,1929,St. Louis,MO,Male,White,U.S. District Court
2822,1390946,Ellison,Keith,P., ,,,1950,New Orleans,LA,Male,White,U.S. District Court
705,1380476,Ellsworth,Oliver, , ,4,29,1745,Windsor,CT,Male,White,Supreme Court
3159,1392631,Elrod,Jennifer,Walker, ,,,1966,Port Arthur,TX,Female,White,U.S. Court of Appeals
706,1380481,Ely,Walter,Raleigh,Jr.,6,24,1913,"Baird, Callahan County",TX,Male,White,U.S. Court of Appeals
707,1380486,Emmons,Halmor,Hull, ,11,22,1814,Keesville,NY,Male,White,U.S. Circuit Court (1869-1911)
708,1380491,Engel,Albert,Joseph, ,3,21,1924,Lake City,MI,Male,White,U.S. District Court
2903,1391351,Engelhardt,Kurt,Damian, ,,,1960,New Orleans,LA,Male,White,U.S. District Court
3380,1393736,Engelmayer,Paul,Adam, ,,,1961,New York,NY,Male,White,U.S. District Court
2944,1391556,England,Morrison,C.,Jr.,,,1954,St. Louis,MO,Male,African American,U.S. District Court
709,1380496,English,George,Washington, ,5,9,1866,near Vienna,IL,Male,White,U.S. District Court
710,1380501,Enright,William,Benner, ,,,1925,New York,NY,Male,White,U.S. District Court
711,1380506,Enslen,Richard,Alan, ,5,28,1931,Kalamazoo,MI,Male,White,U.S. District Court
2933,1391501,Ericksen,Joan,N., ,,,1954,St. Paul,MN,Female,White,U.S. District Court
2983,1391751,Erickson,Ralph,R., ,,,1959,Thief River Falls,MN,Male,White,U.S. District Court
712,1380511,Erskine,Herbert,Wilson, ,8,27,1888,San Francisco,CA,Male,White,U.S. District Court
713,1380516,Erskine,John, , ,9,13,1813,"Strabane, County Tyrone",Ireland,Male,White,U.S. District Court
714,1380521,Ervin,Robert,Tait, ,5,27,1863,Wilcox County,AL,Male,White,U.S. District Court
715,1380526,Ervin,Samuel,James,III,3,2,1926,Morganton,NC,Male,White,U.S. Court of Appeals
716,1380531,Erwin,Richard,Cannon, ,8,23,1923,Marion,NC,Male,African American,U.S. District Court
717,1380536,Eschbach,Jesse,Ernest, ,10,26,1920,Warsaw,IN,Male,White,U.S. District Court
7223866,7223866,Eskridge,Charles,R.,III,,,1963,Cleveland,OH,Male,White,U.S. District Court
718,1380541,Estes,Joe,Ewing, ,10,24,1903,Commerce,TX,Male,White,U.S. District Court
719,1380546,Estes,William,Lee, ,10,18,1870,Boston,TX,Male,White,U.S. District Court
720,1380551,Eubanks,Luther,Boyd, ,7,31,1917,Caprock,NM,Male,White,U.S. District Court
721,1380556,Evans,Beverly,Daniel,Jr.,5,21,1865,Sandersville,GA,Male,White,U.S. District Court
722,1380561,Evans,Evan,Alfred, ,3,19,1876,Spring Green,WI,Male,White,U.S. Court of Appeals
723,1380566,Evans,Orinda,Dale, ,,,1943,Savannah,GA,Female,White,U.S. District Court
724,1380571,Evans,Terence,Thomas, ,3,25,1940,Milwaukee,WI,Male,White,U.S. District Court
725,1380576,Evans,Walter, , ,9,18,1842,"Glasgow, Barren County",KY,Male,White,U.S. District Court
3302,1393346,Evans,Walter,Howard, ,4,17,1870,New Middletown,IN,Male,White,Other
2707,1390386,Ewart,Hamilton,Glover, ,10,23,1849,Columbia,SC,Male,White,U.S. District Court
726,1380581,Ewing,Nathaniel, , ,6,17,1848,Uniontown,PA,Male,White,U.S. District Court
727,1380586,Ezra,David,Alan, ,,,1947,Columbus,OH,Male,White,U.S. District Court
728,1380591,Faber,David,A., ,,,1942,Charleston,WV,Male,White,U.S. District Court
729,1380596,Fagg,George,Gardner, ,4,30,1934,Eldora,IA,Male,White,U.S. Court of Appeals
730,1380601,Fahy,Charles, , ,8,27,1892,Rome,GA,Male,White,U.S. Court of Appeals
3461,1394136,Failla,Katherine,Polk, ,,,1969,Edison,NJ,Female,White,U.S. District Court
3133,1392501,Fairbank,Valerie,Baker, ,,,1949,Minneapolis,MN,Female,White,U.S. District Court
731,1380606,Fairchild,Thomas,Edward, ,12,25,1912,Milwaukee,WI,Male,White,U.S. Court of Appeals
732,1380611,Fake,Guy,Leverne, ,11,15,1879,Cobleskill,NY,Male,White,U.S. District Court
733,1380616,Fallon,Eldon,E., ,,,1939,New Orleans,LA,Male,White,U.S. District Court
734,1380621,Faris,Charles,Breckenridge, ,10,3,1864,near Charleston,MO,Male,White,U.S. District Court
735,1380626,Farnan,Joseph,James,Jr.,,,1945,Philadelphia,PA,Male,White,U.S. District Court
736,1380631,Farrington,Edward,Silsby, ,9,6,1856,Yreka,CA,Male,White,U.S. District Court
737,1380636,Farris,Joseph,Jerome, ,,,1930,Birmingham,AL,Male,African American,U.S. Court of Appeals
738,1380641,Fawsett,Patricia,C., ,,,1943,Montreal,Canada,Female,White,U.S. District Court
739,1380646,Fay,Peter,Thorp, ,,,1929,Rochester,NY,Male,White,U.S. District Court
740,1380651,Fee,James,Alger, ,9,24,1888,Pendleton,OR,Male,White,U.S. District Court
2823,1390951,Feess,Gary,Allen, ,,,1948,Alliance,OH,Male,White,U.S. District Court
741,1380656,Feikens,John, , ,12,3,1917,Clifton,NJ,Male,White,U.S. District Court
742,1380661,Feinberg,Wilfred, , ,6,22,1920,New York,NY,Male,White,U.S. District Court
3287,1393271,Feinerman,Gary,, ,,,1965,Skokie,IL,Male,White,U.S. District Court
743,1380666,Feldman,Martin,Leach-Cross, ,,,1934,St. Louis,MO,Male,White,U.S. District Court
744,1380671,Fenner,Gary,A., ,,,1947,St. Joseph,MO,Male,White,U.S. District Court
745,1380676,Ferguson,Warren,John, ,10,31,1920,Eureka,NV,Male,White,U.S. District Court
746,1380681,Ferguson,Wilkie,D.,Jr.,5,11,1938,Miami,FL,Male,African American,U.S. District Court
747,1380686,Fernandez,Ferdinand,Francis, ,,,1937,Pasadena,CA,Male,Hispanic,U.S. District Court
748,1380691,Fernandez-Badillo,Juan,B., ,8,28,1912,Aquadilla,Puerto Rico,Male,Hispanic,U.S. District Court
3026,1391966,Feuerstein,Sandra,J., ,,,1946,New York,NY,Female,White,U.S. District Court
749,1380696,Field,John,A.,Jr.,3,22,1910,Charleston,WV,Male,White,U.S. District Court
750,1380701,Field,Richard,Stockton, ,12,31,1803,White Hill,NJ,Male,White,U.S. District Court
751,1380706,Field,Stephen,Johnson, ,11,4,1816,Haddam,CT,Male,White,Supreme Court
3042,1392046,Figa,Phillip,S., ,7,27,1951,Chicago,IL,Male,White,U.S. District Court
3049,1392081,Filip,Mark,R., ,,,1966,Chicago,IL,Male,White,U.S. District Court
752,1380711,Filippine,Edward,Louis, ,,,1930,St. Louis,MO,Male,White,U.S. District Court
753,1380716,Finesilver,Sherman,Glenn, ,10,1,1927,Denver,CO,Male,White,U.S. District Court
754,1380721,Finkelnburg,Gustavus,Adolphus, ,4,6,1837,near Cologne,Prussia,Male,White,U.S. District Court
755,1380726,Finnegan,Philip,J., ,6,25,1886,Chicago,IL,Male,White,U.S. Court of Appeals
756,1380731,Firth,Robert, , ,5,12,1918,Harrison,NJ,Male,White,U.S. District Court
3045,1392061,Fischer,Dale,S., ,,,1951,Orange,NJ,Female,White,U.S. District Court
3304,1393356,Fischer,Israel,Fredrick, ,8,17,1858,New York,NY,Male,White,Other
3136,1392516,Fischer,Nora,Barry, ,,,1951,Homestead,PA,Female,White,U.S. District Court
757,1380736,Fish,Allen,Joe, ,,,1942,Los Angeles,CA,Male,White,U.S. District Court
758,1380741,Fisher,Clarkson,Sherman, ,7,8,1921,Long Branch,NJ,Male,White,U.S. District Court
